AKVAKULTURTILLATELSER PR. 13.04.2020;;;;;;;;;;;;;(Enhet i stk. oppgis i 1000) ;;;;;;;;(Enhet i stk. oppgis i 1000) ;;;
TILL_NR;ORG.NR/PERS.NR;NAVN;ADRESSE;POSTNR;POSTSTED;TILDELINGSTIDSPUNKT;TIDSBEGRENSET;TILL_KOMNR;TILL_KOM;FORMÅL;PRODUKSJONSFORM;ART;TILL_KAP;TILL_ENHET;LOK_NR;LOK_NAVN;LOK_KOMNR;LOK_KOM;LOK_PLASS;VANNMILJØ;LOK_KAP;LOK_ENHET;N_GEOWGS84;Ø_GEOWGS84
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Sjøgressreke;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Trollkrabbe;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Strandkrabbe;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Marmorkrabbe;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Bernakeremittkreps;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Hummer;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Taskekrabbe;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Dvergreke;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Rettsnutet svømmekrabbe;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Sandpyntekrabbe;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Muddertrollkreps;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Kamuflasjereke;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Stankelbenkrabbe;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Krinakrabbe, uspes.;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0302;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;03-07-2017;;3022;FROGN;Kommersiell;STAMDYR;Steinkrabbe;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
